sentence,arg1,rel,arg2,type,pattern,arg1_with_pos,rel_with_pos,arg2_with_pos,arg1_prepositions,rel_prepositions,arg2_prepositions
While some may find Tolkien's detail -LRB- especially in Lord of the Rings -RRB- tedious and excessive it is what made Middle Earth so lifelike and why it was such a great escape realm.,{some},may {find},{detail} tedious,SVO,"(nsubj, verb, dobj)",some-DT-2,may-MD-3 find-VB-4,detail-NN-7 tedious-JJ-20,,,
this nostalgia cause has action and adventure but then there is humor and singing!,this nostalgia {cause},{has},{action},SVO,"(nsubj, verb, dobj)",this-DT-1 nostalgia-NN-2 cause-NN-3,has-VBZ-4,action-NN-5,,,
"This is a book that has elements for all ages, This can be read and enjoyed by kids and is still enjoyable as an adult.",a {book},{has},{elements},SVO,"(nsubj, verb, dobj)",a-DT-3 book-NN-4,has-VBZ-6,elements-NNS-7,,,
Tolkien could really weave a perfect story.,{Tolkien},could really {weave},a perfect {story},SVO,"(nsubj, verb, dobj)",Tolkien-NNP-1,could-MD-2 really-RB-3 weave-VB-4,a-DT-5 perfect-JJ-6 story-NN-7,,,
"I love the narrator in this novel for Tolkien already knows everything that has happened and will allude to events that take place near the end of the book that will have you thinking, `` No tell I what happens now! ''",{I},{knows},{everything},SVO,"(nsubj, verb, dobj)",I-PRP-1,knows-VBZ-11,everything-NN-12,,,
It is just that simple tactic that will keep you reading all through the night the first time you read a book that has elements for all ages.,{you},{reading},the first {time},SVO,"(nsubj, verb, dobj)",you-PRP-10,reading-VBG-11,the-DT-16 first-JJ-17 time-NN-18,,,
It is just that simple tactic that will keep you reading all through the night the first time you read a book that has elements for all ages.,{you},{reading},{all},SVO,"(nsubj, verb, dobj)",you-PRP-10,reading-VBG-11,all-DT-12,,,
It is just that simple tactic that will keep you reading all through the night the first time you read a book that has elements for all ages.,{you},{read},a {book},SVO,"(nsubj, verb, dobj)",you-PRP-19,read-VBD-20,a-DT-21 book-NN-22,,,
It is just that simple tactic that will keep you reading all through the night the first time you read a book that has elements for all ages.,a {book},{has},{elements},SVO,"(nsubj, verb, dobj)",a-DT-21 book-NN-22,has-VBZ-24,elements-NNS-25,,,
"After the first time though you read those parts and think, `` No I don't want to get to that part! ''",{you},{read},those {parts},SVO,"(nsubj, verb, dobj)",you-PRP-6,read-VBD-7,those-DT-8 parts-NNS-9,,,
One because you know what partakes and sometimes it isn't the happiest of situations and two that means you are nearing the end of a book that has elements for all ages.,{you},are {nearing},the {end} book,SVO,"(nsubj, verb, dobj)",you-PRP-20,are-VBP-21 nearing-VBG-22,the-DT-23 end-NN-24 book-NN-27,,,
One because you know what partakes and sometimes it isn't the happiest of situations and two that means you are nearing the end of a book that has elements for all ages.,a {book},{has},{elements},SVO,"(nsubj, verb, dobj)",a-DT-26 book-NN-27,has-VBZ-29,elements-NNS-30,,,
While My love all the action and such in a book that has elements for all ages My's just love the game of the riddles.,a {book},{has},{elements},SVO,"(nsubj, verb, dobj)",a-DT-10 book-NN-11,has-VBZ-13,elements-NNS-14,,,
My like riddles so My would try to figure out the answer before My continued reading even though the movie made some of them easy.,{My},would {try},like {riddles},SVO,"(nsubj, verb, dobj)",My-NNP-5,would-MD-6 try-VB-7,like-JJ-2 riddles-NNS-3,,,
But as the book finally accepting the adventure progresses you see Bilbo get braver and stronger.,the {book},finally {accepting},the {adventure},SVO,"(nsubj, verb, dobj)",the-DT-3 book-NN-4,finally-RB-5 accepting-VBG-6,the-DT-7 adventure-NN-8,,,
"`` I will give you a name, '' Bilbo said to it, `` and I shall call you Sting '' I think this is one of Bilbo strongest lines in the book finally accepting an adventure with the dwarves and that there is more to Bilbo that even Bilbo knows.",{I},will {give},a {name},SVO,"(nsubj, verb, dobj)",I-PRP-2,will-MD-3 give-VB-4,a-DT-6 name-NN-7,,,
"`` I will give you a name, '' Bilbo said to it, `` and I shall call you Sting '' I think this is one of Bilbo strongest lines in the book finally accepting an adventure with the dwarves and that there is more to Bilbo that even Bilbo knows.",one Bilbo strongest {lines},finally {accepting},an {adventure},SVO,"(nsubj, verb, dobj)",one-CD-27 Bilbo-NNP-29 strongest-JJS-30 lines-NNS-31,finally-RB-35 accepting-VBG-36,an-DT-37 adventure-NN-38,,,
"`` I will give you a name, '' Bilbo said to it, `` and I shall call you Sting '' I think this is one of Bilbo strongest lines in the book finally accepting an adventure with the dwarves and that there is more to Bilbo that even Bilbo knows.",{Bilbo},{knows},{Bilbo},SVO,"(nsubj, verb, dobj)",Bilbo-NNP-51,knows-VBZ-52,Bilbo-NNP-48,,,
my think the main reason why he is one of my's favorites is because of the similarities to Aragorn as a King without a crown.,{my},{think},the main {reason},SVO,"(nsubj, verb, dobj)",my-PRP$-1,think-VB-2,the-DT-3 main-JJ-4 reason-NN-5,,,
"While he makes many mistakes on the way to the mountain and even afterwards in the end he redeems he and just seems to be one of he's favorite characters in the book, and lets be honest the movie version of Thorin Oakenshield made he like he even more.",{he},{makes},many {mistakes},SVO,"(nsubj, verb, dobj)",he-PRP-2,makes-VBZ-3,many-JJ-4 mistakes-NNS-5,,,
"While he makes many mistakes on the way to the mountain and even afterwards in the end he redeems he and just seems to be one of he's favorite characters in the book, and lets be honest the movie version of Thorin Oakenshield made he like he even more.",{he},{redeems},{he},SVO,"(nsubj, verb, dobj)",he-PRP-18,redeems-VBZ-19,he-PRP-20,,,
"While he makes many mistakes on the way to the mountain and even afterwards in the end he redeems he and just seems to be one of he's favorite characters in the book, and lets be honest the movie version of Thorin Oakenshield made he like he even more.",the movie {version} Oakenshield,{made} more,{he},SVO,"(nsubj, verb, dobj)",the-DT-40 movie-NN-41 version-NN-42 Oakenshield-NNP-45,made-VBD-46 more-RBR-51,he-PRP-47,,,
As to he's least favorite part of the book I will mark major spoilers but honestly go and get this book immediately it would have to be how absolutely un-climactic the ending of the book I will mark major spoilers but honestly go and get this book immediately is.,{I},will {mark},major {spoilers},SVO,"(nsubj, verb, dobj)",I-PRP-11,will-MD-12 mark-VB-13,major-JJ-14 spoilers-NNS-15,,,
As to he's least favorite part of the book I will mark major spoilers but honestly go and get this book immediately it would have to be how absolutely un-climactic the ending of the book I will mark major spoilers but honestly go and get this book immediately is.,{I},will {mark},major {spoilers},SVO,"(nsubj, verb, dobj)",I-PRP-11,will-MD-12 mark-VB-13,major-JJ-14 spoilers-NNS-15,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{you},have not {read},the {book},SVO,"(nsubj, verb, dobj)",you-PRP-36,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{I},have not {read},the {book},SVO,"(nsubj, verb, dobj)",I-PRP-42,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{that},have not {read},the {book},SVO,"(nsubj, verb, dobj)",that-WDT-3,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",the {book},have not {read},the {book},SVO,"(nsubj, verb, dobj)",the-DT-40 book-NN-41,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{those},have not {read},the {book},SVO,"(nsubj, verb, dobj)",those-DT-2,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{I},will {mark},major {spoilers},SVO,"(nsubj, verb, dobj)",I-PRP-9,will-MD-10 mark-VB-11,major-JJ-12 spoilers-NNS-13,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{I},will {mark},major {spoilers},SVO,"(nsubj, verb, dobj)",I-PRP-9,will-MD-10 mark-VB-11,major-JJ-12 spoilers-NNS-13,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{you},have not {read},the {book},SVO,"(nsubj, verb, dobj)",you-PRP-36,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{I},have not {read},the {book},SVO,"(nsubj, verb, dobj)",I-PRP-42,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{that},have not {read},the {book},SVO,"(nsubj, verb, dobj)",that-WDT-3,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",the {book},have not {read},the {book},SVO,"(nsubj, verb, dobj)",the-DT-40 book-NN-41,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{those},have not {read},the {book},SVO,"(nsubj, verb, dobj)",those-DT-2,have-VBP-4 not-RB-5 read-VBN-6,the-DT-7 book-NN-8,,,
"For those that have not read the book I will mark major spoilers but honestly go and get the book I will mark major spoilers but honestly go and get this book immediately immediately, you need to read the book I will mark major spoilers but honestly go and get this book immediately!",{I},will {mark},major {spoilers},SVO,"(nsubj, verb, dobj)",I-PRP-9,will-MD-10 mark-VB-11,major-JJ-12 spoilers-NNS-13,,,
Smaug has taken over the mountain as his and claims all the gold under the mountain as Smaug's and terrorizes the surrounding area.,{Smaug},has {taken} over,the {mountain},SVO,"(nsubj, verb, dobj)",Smaug-NNP-1,has-VBZ-2 taken-VBN-3 over-IN-4,the-DT-5 mountain-NN-6,,,
-LRB- hide spoiler -RRB- -RSB- Alright so thats all done and all of a sudden there is going to be this large battle which has been foreshadowed all throughout the novel.,{LRB},{hide},{RRB},SVO,"(nsubj, verb, dobj)",LRB-NNP-2,hide-VB-4,RRB-NNP-7,,,
-LRB- hide spoiler -RRB- -RSB- Alright so thats all done and all of a sudden there is going to be this large battle which has been foreshadowed all throughout the novel.,{LRB},{hide},{spoiler},SVO,"(nsubj, verb, dobj)",LRB-NNP-2,hide-VB-4,spoiler-NN-5,,,
-LRB- hide spoiler -RRB- -RSB- Alright so thats all done and all of a sudden there is going to be this large battle which has been foreshadowed all throughout the novel.,{LRB},{hide},{RSB},SVO,"(nsubj, verb, dobj)",LRB-NNP-2,hide-VB-4,RSB-NNP-10,,,
-LRB- hide spoiler -RRB- -RSB- Anyways the battle is still epic but could have been much better if some things were done differently.,{LRB},{hide},{spoiler},SVO,"(nsubj, verb, dobj)",LRB-NNP-2,hide-VB-4,spoiler-NN-5,,,
Sorry if you weren't aware but some have to die and you are not going to be happy about the battle is still epic that is all I'm going to say.,{you},{weren},{'t},SVO,"(nsubj, verb, dobj)",you-PRP-3,weren-VBP-4,'t-NN-5,,,
his weaves a picture so intricate that you feel like you are there on the adventure with the characters.,{his},{weaves},a {picture},SVO,"(nsubj, verb, dobj)",his-PRP$-1,weaves-VBZ-2,a-DT-3 picture-NN-4,,,
